Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
DEFB126	pLoF	0.01	8.424303E-02	-0.0174237	0.0100914	397	10	387	7	16
DEFB126	pLoF	0.5	7.901092E-02	-0.0175508	0.00999217	89884	4036	85848	8	16
DEFB126	missense	0.01	8.546156E-01	-0.00691851	0.0377581	31	1	30	1	12
DEFB126	missense	0.500000	8.546156E-01	-0.00691851	0.0377581	31	1	30	1	12
DEFB126	synonymous	0.01	2.454094E-01	0.00292822	0.00252091	8339	309	8030	10	27
DEFB126	synonymous	0.500000	2.454094E-01	0.00292822	0.00252091	8339	309	8030	10	27
DEFB126	pLoF;missense	0.01	8.620431E-02	-0.0167313	0.0097515	428	11	417	8	28
DEFB126	pLoF;missense	0.5	8.090019E-02	-0.0168664	0.00966288	89915	4037	85878	9	28
DEFB126	missense;synonymous	0.01	2.512732E-01	0.00288629	0.00251581	8370	310	8060	11	39
DEFB126	missense;synonymous	0.500000	2.512732E-01	0.00288629	0.00251581	8370	310	8060	11	39
DEFB126	pLoF;missense;synonymous;other	0.01	4.960829E-01	0.00166271	0.00244277	8773	320	8453	18	57
DEFB126	pLoF;missense;synonymous;other	0.5	5.040221E-01	0.00162967	0.00243898	98260	4346	93914	19	57
DEFB126	Cauchy	NA	0.214168	NA	NA	NA	NA	NA	NA	NA
DEFB127	pLoF	0.01	3.796655E-01	-0.0237439	0.0270274	69	1	68	2	6
DEFB127	pLoF	0.500000	3.796655E-01	-0.0237439	0.0270274	69	1	68	2	6
DEFB127	missense	0.01	1.516728E-01	-0.025843	0.018026	210	2	208	1	16
DEFB127	missense	0.5	1.529844E-01	-0.0257614	0.0180267	155941	7367	148574	2	16
DEFB127	synonymous	0.01	3.370795E-01	0.00461926	0.00481197	2392	93	2299	3	25
DEFB127	synonymous	0.500000	3.370795E-01	0.00461926	0.00481197	2392	93	2299	3	25
DEFB127	pLoF;missense	0.01	9.295290E-02	-0.0252003	0.015	279	3	276	3	22
DEFB127	pLoF;missense	0.5	9.369271E-02	-0.0251445	0.0150006	156010	7368	148642	4	22
DEFB127	missense;synonymous	0.01	5.766295E-01	0.00259592	0.00464956	2602	95	2507	4	41
DEFB127	missense;synonymous	0.5	5.757916E-01	0.00260178	0.00464983	158333	7460	150873	5	41
DEFB127	pLoF;missense;synonymous;other	0.01	6.971461E-01	0.00178023	0.00457437	2678	96	2582	6	51
DEFB127	pLoF;missense;synonymous;other	0.5	6.962599E-01	0.00178582	0.00457463	158409	7461	150948	7	51
DEFB127	Cauchy	NA	0.271363	NA	NA	NA	NA	NA	NA	NA
DEFB128	pLoF	0.01	6.089309E-01	0.00311617	0.00609103	1409	55	1354	5	10
DEFB128	pLoF	0.5	1.801630E-01	0.00388686	0.00290009	16181	753	15428	6	10
DEFB128	missense	0.01	7.536993E-01	0.00179341	0.00571578	1704	63	1641	1	17
DEFB128	missense	0.500000	7.536993E-01	0.00179341	0.00571578	1704	63	1641	1	17
DEFB128	synonymous	0.01	6.081858E-01	-0.00654821	0.0127729	281	9	272	7	27
DEFB128	synonymous	0.500000	6.081858E-01	-0.00654821	0.0127729	281	9	272	7	27
DEFB128	pLoF;missense	0.01	5.606091E-01	0.00243913	0.0041914	3113	118	2995	6	27
DEFB128	pLoF;missense	0.5	1.785884E-01	0.00349974	0.00260182	17885	816	17069	7	27
DEFB128	missense;synonymous	0.01	9.389223E-01	0.000400166	0.00522243	1985	72	1913	8	44
DEFB128	missense;synonymous	0.500000	9.389223E-01	0.000400166	0.00522243	1985	72	1913	8	44
DEFB128	pLoF;missense;synonymous;other	0.01	7.419962E-01	0.00126538	0.00384366	3461	129	3332	14	56
DEFB128	pLoF;missense;synonymous;other	0.5	2.438282E-01	0.00292869	0.00251288	18233	827	17406	15	56
DEFB128	Cauchy	NA	0.726455	NA	NA	NA	NA	NA	NA	NA
DEFB129	pLoF	0.01	5.874628E-01	0.0193341	0.0356377	22	2	20	0	11
DEFB129	pLoF	0.500000	5.874628E-01	0.0193341	0.0356377	22	2	20	0	11
DEFB129	missense	0.01	8.977550E-01	0.00066803	0.00519876	1463	71	1392	4	19
DEFB129	missense	0.500000	8.977550E-01	0.00066803	0.00519876	1463	71	1392	4	19
DEFB129	synonymous	0.01	2.235921E-01	-0.0190843	0.015681	167	4	163	5	32
DEFB129	synonymous	0.5	2.545450E-01	-0.00412344	0.00361902	182452	8555	173897	7	32
DEFB129	pLoF;missense	0.01	8.370973E-01	0.00105791	0.00514529	1485	73	1412	4	30
DEFB129	pLoF;missense	0.500000	8.370973E-01	0.00105791	0.00514529	1485	73	1412	4	30
DEFB129	missense;synonymous	0.01	7.949389E-01	-0.00128196	0.00493245	1630	75	1555	9	51
DEFB129	missense;synonymous	0.5	3.882205E-01	-0.00256806	0.00297625	183915	8626	175289	11	51
DEFB129	pLoF;missense;synonymous;other	0.01	8.522901E-01	-0.000909842	0.00488644	1653	77	1576	9	63
DEFB129	pLoF;missense;synonymous;other	0.5	4.140865E-01	-0.00242274	0.00296641	183938	8628	175310	11	63
DEFB129	Cauchy	NA	0.731323	NA	NA	NA	NA	NA	NA	NA
DEFB132	pLoF	0.01	1.263425E-01	0.0320363	0.0209567	86	7	79	1	9
DEFB132	pLoF	0.5	1.263237E-01	0.0320378	0.0209567	207985	9318	198667	2	9
DEFB132	missense	0.01	2.350830E-01	-0.0419027	0.0352904	43	0	43	2	3
DEFB132	missense	0.500000	2.350830E-01	-0.0419027	0.0352904	43	0	43	2	3
DEFB132	synonymous	0.01	6.853295E-01	0.00251931	0.00621742	1047	49	998	4	28
DEFB132	synonymous	0.5	8.990965E-01	-0.000399182	0.00314806	6814	240	6574	5	28
