Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
COL5A3	pLoF	0.01	9.489354E-01	0.000484275	0.00756163	459	31	428	8	125
COL5A3	pLoF	0.500000	9.489354E-01	0.000484275	0.00756163	459	31	428	8	125
COL5A3	missense	0.01	9.366672E-01	-0.000133596	0.00168131	10302	638	9664	113	531
COL5A3	missense	0.5	2.212813E-01	-0.0014622	0.00119546	178567	12076	166491	116	531
COL5A3	synonymous	0.01	5.744772E-03	-0.00416715	0.00150874	15143	809	14334	113	364
COL5A3	synonymous	0.5	9.553176E-03	-0.0022032	0.000850131	922134	62738	859396	122	364
COL5A3	pLoF;missense	0.01	8.978093E-01	-0.000211335	0.00164554	10751	667	10084	121	656
COL5A3	pLoF;missense	0.5	2.128107E-01	-0.00147277	0.00118212	179016	12105	166911	124	656
COL5A3	missense;synonymous	0.01	3.251202E-02	-0.00235858	0.00110314	25435	1447	23988	226	895
COL5A3	missense;synonymous	0.5	6.859090E-03	-0.00180513	0.000667673	1.10069e+06	74814	1.02588e+06	238	895
COL5A3	pLoF;missense;synonymous;other	0.01	5.290001E-02	-0.00208818	0.00107875	26571	1524	25047	250	1113
COL5A3	pLoF;missense;synonymous;other	0.5	9.713810E-03	-0.00171018	0.00066136	1.10183e+06	74891	1.02694e+06	262	1113
COL5A3	Cauchy	NA	0.023008	NA	NA	NA	NA	NA	NA	NA
GRIN3B	pLoF	0.01	6.361968E-01	0.00139508	0.00294928	3167	218	2949	29	85
GRIN3B	pLoF	0.5	8.569995E-01	0.000469033	0.00260292	426393	29717	396676	32	85
GRIN3B	missense	0.01	8.968504E-01	0.000185181	0.00142841	15425	920	14505	106	416
GRIN3B	missense	0.5	9.375909E-01	7.69507e-05	0.00098279	574802	39720	535082	112	416
GRIN3B	synonymous	0.01	8.197472E-01	0.000237907	0.00104405	25471	1561	23910	95	370
GRIN3B	synonymous	0.5	3.915843E-01	-0.00067665	0.000789789	1.77943e+06	122987	1.65644e+06	107	370
GRIN3B	pLoF;missense	0.01	7.423355E-01	0.000423493	0.00128814	18588	1138	17450	135	501
GRIN3B	pLoF;missense	0.5	8.870457E-01	0.000131894	0.000928545	1.00119e+06	69437	931754	144	501
GRIN3B	missense;synonymous	0.01	7.714206E-01	0.000250486	0.000862206	40885	2481	38404	201	786
GRIN3B	missense;synonymous	0.5	5.537121E-01	-0.000358899	0.000606037	2.35422e+06	162707	2.19151e+06	219	786
GRIN3B	pLoF;missense;synonymous;other	0.01	7.209111E-01	0.000293857	0.000822573	44572	2734	41838	237	886
GRIN3B	pLoF;missense;synonymous;other	0.5	5.717445E-01	-0.000329327	0.000582381	2.78113e+06	192459	2.58867e+06	258	886
GRIN3B	Cauchy	NA	0.811095	NA	NA	NA	NA	NA	NA	NA
RDH8	pLoF	0.01	4.647361E-01	0.0180934	0.0247492	52	4	48	0	20
RDH8	pLoF	0.500000	4.647361E-01	0.0180934	0.0247492	52	4	48	0	20
RDH8	missense	0.01	8.078085E-01	-0.000539816	0.00221914	7170	489	6681	27	111
RDH8	missense	0.5	7.550693E-01	-0.000691622	0.00221701	106386	7116	99270	28	111
RDH8	synonymous	0.01	9.134387E-01	0.000337888	0.00310838	4728	213	4515	19	70
RDH8	synonymous	0.5	8.929496E-01	0.000248374	0.00184565	125850	8533	117317	21	70
RDH8	pLoF;missense	0.01	8.587126E-01	-0.000393479	0.00221039	7222	493	6729	27	131
RDH8	pLoF;missense	0.5	8.052961E-01	-0.000544304	0.00220814	106438	7120	99318	28	131
RDH8	missense;synonymous	0.01	8.953646E-01	-0.000238148	0.00181075	11897	702	11195	46	181
RDH8	missense;synonymous	0.5	9.255349E-01	-0.000132786	0.00142071	232235	15649	216586	49	181
RDH8	pLoF;missense;synonymous;other	0.01	9.449514E-01	-0.000124592	0.00180442	11960	707	11253	46	205
RDH8	pLoF;missense;synonymous;other	0.5	9.644740E-01	-6.31381e-05	0.00141756	232298	15654	216644	49	205
RDH8	Cauchy	NA	0.89203	NA	NA	NA	NA	NA	NA	NA
SHFL	missense	0.01	1.311813E-01	0.0286345	0.01897	72	8	64	2	16
SHFL	missense	0.500000	1.311813E-01	0.0286345	0.01897	72	8	64	2	16
SHFL	synonymous	0.01	1.451417E-01	-0.0122033	0.00837614	368	18	350	6	9
SHFL	synonymous	0.500000	1.451417E-01	-0.0122033	0.00837614	368	18	350	6	9
SHFL	pLoF;missense	0.01	1.311813E-01	0.0286345	0.01897	72	8	64	2	17
SHFL	pLoF;missense	0.500000	1.311813E-01	0.0286345	0.01897	72	8	64	2	17
SHFL	missense;synonymous	0.01	4.695677E-01	-0.00554254	0.00766409	440	26	414	8	25
SHFL	missense;synonymous	0.500000	4.695677E-01	-0.00554254	0.00766409	440	26	414	8	25
SHFL	pLoF;missense;synonymous;other	0.01	4.418880E-01	-0.00586822	0.00763088	444	26	418	8	30
SHFL	pLoF;missense;synonymous;other	0.500000	4.418880E-01	-0.00586822	0.00763088	444	26	418	8	30
SHFL	Cauchy	NA	0.199722	NA	NA	NA	NA	NA	NA	NA
ANGPTL6	pLoF	0.01	3.342572E-01	0.00503796	0.00521758	957	73	884	7	49
ANGPTL6	pLoF	0.500000	3.342572E-01	0.00503796	0.00521758	957	73	884	7	49
