Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.1752554	0.0255967	0.0188834	190	6	184	3	34
ATAD3A	pLoF	0.5	0.1752554	0.0255967	0.0188834	190	6	184	3	34
ATAD3A	missense	0.01	0.3475858	-0.00325078	0.00346092	9891	135	9756	60	227
ATAD3A	missense	0.5	0.4917667	-0.00183478	0.00266876	34063	439	33624	62	227
ATAD3A	synonymous	0.01	0.1419383	0.0031738	0.00216109	23325	338	22987	63	142
ATAD3A	synonymous	0.5	0.3054234	0.00209203	0.00204126	115322	1503	113819	65	142
ATAD3A	pLoF;missense	0.01	0.5013366	-0.00228656	0.00340066	10078	141	9937	63	261
ATAD3A	pLoF;missense	0.5	0.6274592	-0.00128045	0.00263844	34250	445	33805	65	261
ATAD3A	missense;synonymous	0.01	0.4536305	0.001366	0.00182284	33213	473	32740	123	369
ATAD3A	missense;synonymous	0.5	0.69552	0.000619141	0.00158196	149382	1942	147440	127	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3426988	0.00171811	0.00181073	33523	482	33041	129	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.5707218	0.000892225	0.00157362	149692	1951	147741	133	420
ATAD3A	Cauchy		0.354067							
FLG	pLoF	0.01	0.479907	-0.0024328	0.00344368	10439	141	10298	99	338
FLG	pLoF	0.5	0.2614237	0.00274967	0.00244843	39429	628	38801	101	338
FLG	missense	0.01	0.5554656	0.00657318	0.0111487	1813	17	1796	8	27
FLG	missense	0.5	0.5554656	0.00657318	0.0111487	1813	17	1796	8	27
FLG	synonymous	0.01	0.2129446	0.00149619	0.00120127	77843	976	76867	401	1136
FLG	synonymous	0.5	0.4823809	0.000574127	0.000817288	1624160	22214	1601950	422	1136
FLG	pLoF;missense	0.01	0.6150173	-0.00165913	0.00329897	12252	158	12094	107	365
FLG	pLoF;missense	0.5	0.2206678	0.00293335	0.00239505	41242	645	40597	109	365
FLG	missense;synonymous	0.01	0.1999023	0.00150797	0.00117642	79654	993	78661	409	1163
FLG	missense;synonymous	0.5	0.4606062	0.000596756	0.000808777	1625970	22231	1603740	430	1163
FLG	pLoF;missense;synonymous;other	0.01	0.3481902	0.00105081	0.00112014	90125	1133	88992	509	1504
FLG	pLoF;missense;synonymous;other	0.5	0.3049917	0.000794741	0.000774762	1665430	22858	1642580	532	1504
FLG	Cauchy		0.363005							
FLG2	pLoF	0.01	0.9060034	-0.000929909	0.00787518	1815	25	1790	27	111
FLG2	pLoF	0.5	0.8849452	-0.001123	0.00776068	102655	1449	101206	28	111
FLG2	missense	0.01	0.8927052	0.00253058	0.0187614	452	5	447	9	51
FLG2	missense	0.5	0.8927052	0.00253058	0.0187614	452	5	447	9	51
FLG2	synonymous	0.01	0.8994756	-0.000136927	0.00108393	42244	529	41715	146	450
FLG2	synonymous	0.5	0.8911713	0.000105354	0.000770006	424353	5959	418394	154	450
FLG2	pLoF;missense	0.01	0.9580882	-0.000382245	0.00727355	2264	30	2234	36	162
FLG2	pLoF;missense	0.5	0.9377173	-0.000561353	0.00718402	103104	1454	101650	37	162
FLG2	missense;synonymous	0.01	0.9055989	-0.000128379	0.00108253	42693	534	42159	155	501
FLG2	missense;synonymous	0.5	0.8869968	0.000109345	0.000769463	424802	5964	418838	163	501
FLG2	pLoF;missense;synonymous;other	0.01	0.8930554	-0.000141836	0.00105502	44517	559	43958	182	617
