Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.9371715	-0.00179157	0.0227283	186	2	184	3	34
ATAD3A	pLoF	0.5	0.9371715	-0.00179157	0.0227283	186	2	184	3	34
ATAD3A	missense	0.01	0.843414	0.000825362	0.00417845	9858	102	9756	60	227
ATAD3A	missense	0.5	0.8692761	-0.000538629	0.00327279	33908	284	33624	62	227
ATAD3A	synonymous	0.01	0.2014376	-0.00353773	0.00276933	23159	172	22987	63	143
ATAD3A	synonymous	0.5	0.4217871	-0.00211291	0.0026302	114721	902	113819	65	143
ATAD3A	pLoF;missense	0.01	0.8541698	0.000754576	0.0041054	10041	104	9937	63	261
ATAD3A	pLoF;missense	0.5	0.8644352	-0.000552176	0.00323418	34091	286	33805	65	261
ATAD3A	missense;synonymous	0.01	0.3445723	-0.00216669	0.00229238	33014	274	32740	123	370
ATAD3A	missense;synonymous	0.5	0.4799687	-0.00140941	0.00199534	148626	1186	147440	127	370
ATAD3A	pLoF;missense;synonymous;other	0.01	0.3758644	-0.00201546	0.00227596	33319	278	33041	130	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.5116545	-0.00130203	0.00198401	148931	1190	147741	134	420
ATAD3A	Cauchy		0.793366							
FLG	pLoF	0.01	0.5964403	0.0022445	0.0042387	10403	105	10298	99	333
FLG	pLoF	0.5	0.3519574	0.00277979	0.00298645	39220	419	38801	101	333
FLG	missense	0.01	0.7850389	0.00459867	0.0168599	1803	7	1796	8	27
FLG	missense	0.5	0.7850389	0.00459867	0.0168599	1803	7	1796	8	27
FLG	synonymous	0.01	0.1899754	-0.00206751	0.00157747	77405	539	76866	403	1134
FLG	synonymous	0.5	0.2464333	-0.00119475	0.00103079	1616910	14966	1601950	424	1134
FLG	pLoF;missense	0.01	0.5621039	0.00238668	0.00411695	12206	112	12094	107	360
FLG	pLoF;missense	0.5	0.335016	0.00283738	0.00294315	41023	426	40597	109	360
FLG	missense;synonymous	0.01	0.2046153	-0.00197319	0.00155551	79206	546	78660	411	1161
FLG	missense;synonymous	0.5	0.2559768	-0.00116349	0.00102424	1618710	14973	1603740	432	1161
FLG	pLoF;missense;synonymous;other	0.01	0.3046582	-0.00150814	0.00146922	89642	651	88991	511	1497
FLG	pLoF;missense;synonymous;other	0.5	0.4310712	-0.000769634	0.000977487	1657970	15392	1642570	534	1497
FLG	Cauchy		0.402816							
FLG2	pLoF	0.01	0.4558306	-0.00698782	0.00937044	1805	15	1790	26	112
FLG2	pLoF	0.5	0.439747	-0.00713489	0.00923466	102197	991	101206	27	112
FLG2	missense	0.01	0.9449235	0.00165536	0.0239619	450	3	447	9	50
FLG2	missense	0.5	0.9449235	0.00165536	0.0239619	450	3	447	9	50
FLG2	synonymous	0.01	0.6102232	-0.000666493	0.00130748	42048	333	41715	146	453
FLG2	synonymous	0.5	0.4999155	-0.000625824	0.000927665	422396	4002	418394	154	453
FLG2	pLoF;missense	0.01	0.5042329	-0.00583906	0.00874315	2252	18	2234	35	162
FLG2	pLoF;missense	0.5	0.4872794	-0.0059966	0.00863264	102644	994	101650	36	162
FLG2	missense;synonymous	0.01	0.6128325	-0.000660683	0.00130561	42495	336	42159	155	503
FLG2	missense;synonymous	0.5	0.5016232	-0.000622815	0.000926894	422843	4005	418838	163	503
FLG2	pLoF;missense;synonymous;other	0.01	0.5694846	-0.000724394	0.00127352	44310	352	43958	181	620
FLG2	pLoF;missense;synonymous;other	0.5	0.4741458	-0.000650062	0.000908225	525050	4997	520053	190	620
FLG2	Cauchy		0.749488							
PIP5K1A	pLoF	0.01	0.4142742	0.0310932	0.038086	84	2	82	1	26
PIP5K1A	pLoF	0.5	0.4142742	0.0310932	0.038086	84	2	82	1	26
PIP5K1A	missense	0.01	0.4178991	-0.0108104	0.013345	1314	7	1307	16	163
PIP5K1A	missense	0.5	0.4178991	-0.0108104	0.013345	1314	7	1307	16	163
PIP5K1A	synonymous	0.01	0.8187166	0.00129044	0.00563028	5938	60	5878	22	121
PIP5K1A	synonymous	0.5	0.8890291	0.000562774	0.00403328	212207	2084	210123	24	121
PIP5K1A	pLoF;missense	0.01	0.6162553	-0.00632396	0.0126185	1398	9	1389	17	189
PIP5K1A	pLoF;missense	0.5	0.6162553	-0.00632396	0.0126185	1398	9	1389	17	189
PIP5K1A	missense;synonymous	0.01	0.9298406	-0.000447482	0.0050824	7247	67	7180	38	284
PIP5K1A	missense;synonymous	0.5	0.9286928	-0.000341714	0.00381848	213516	2091	211425	40	284
PIP5K1A	pLoF;missense;synonymous;other	0.01	0.9485719	-0.000323672	0.00501815	7404	69	7335	40	326
PIP5K1A	pLoF;missense;synonymous;other	0.5	0.9426811	-0.00027258	0.00379107	213673	2093	211580	42	326
PIP5K1A	Cauchy		0.854918							
TUFT1	pLoF	0.01	0.8354305	-0.00760609	0.0366132	127	1	126	2	23
TUFT1	pLoF	0.5	0.8354305	-0.00760609	0.0366132	127	1	126	2	23
TUFT1	missense	0.01	0.5859748	0.00482439	0.00885732	2999	24	2975	16	100
TUFT1	missense	0.5	0.5859748	0.00482439	0.00885732	2999	24	2975	16	100
TUFT1	synonymous	0.01	0.04884894	-0.0402782	0.0204467	615	0	615	12	59
TUFT1	synonymous	0.5	0.04884894	-0.0402782	0.0204467	615	0	615	12	59
TUFT1	pLoF;missense	0.01	0.6308043	0.00413843	0.00861105	3126	25	3101	18	123
TUFT1	pLoF;missense	0.5	0.6308043	0.00413843	0.00861105	3126	25	3101	18	123
TUFT1	missense;synonymous	0.01	0.782084	-0.00221749	0.00801684	3610	24	3586	28	159
TUFT1	missense;synonymous	0.5	0.782084	-0.00221749	0.00801684	3610	24	3586	28	159
TUFT1	pLoF;missense;synonymous;other	0.01	0.703779	-0.0029595	0.00778355	3778	25	3753	31	191
TUFT1	pLoF;missense;synonymous;other	0.5	0.703779	-0.0029595	0.00778355	3778	25	3753	31	191
TUFT1	Cauchy		0.396449							
RIIAD1	pLoF	0.01	0.7491167	-0.0418102	0.130737	6	0	6	0	4
RIIAD1	pLoF	0.5	0.7491167	-0.0418102	0.130737	6	0	6	0	4
RIIAD1	missense	0.01	0.0862168	-0.0326595	0.0190357	850	1	849	4	20
RIIAD1	missense	0.5	0.0862168	-0.0326595	0.0190357	850	1	849	4	20
RIIAD1	synonymous	0.01	0.2348783	-0.0281982	0.0237381	967	1	966	4	15
RIIAD1	synonymous	0.5	0.2348783	-0.0281982	0.0237381	967	1	966	4	15
RIIAD1	pLoF;missense	0.01	0.08116432	-0.032853	0.0188381	856	1	855	4	24
RIIAD1	pLoF;missense	0.5	0.08116432	-0.032853	0.0188381	856	1	855	4	24
RIIAD1	missense;synonymous	0.01	0.03389574	-0.0315948	0.014894	1817	2	1815	8	35
RIIAD1	missense;synonymous	0.5	0.03389574	-0.0315948	0.014894	1817	2	1815	8	35
RIIAD1	pLoF;missense;synonymous;other	0.01	0.03206683	-0.0317322	0.0148034	1824	2	1822	8	40
RIIAD1	pLoF;missense;synonymous;other	0.5	0.03206683	-0.0317322	0.0148034	1824	2	1822	8	40
RIIAD1	Cauchy		0.0701296							
THEM4	pLoF	0.01	0.4576825	-0.0410089	0.0552183	61	0	61	1	19
THEM4	pLoF	0.5	0.4576825	-0.0410089	0.0552183	61	0	61	1	19
THEM4	missense	0.01	0.3818427	0.00501139	0.00573054	7034	82	6952	6	44
THEM4	missense	0.5	0.3818427	0.00501139	0.00573054	7034	82	6952	6	44
THEM4	synonymous	0.01	0.2279967	0.0176331	0.0146268	846	11	835	13	43
THEM4	synonymous	0.5	0.6303621	0.00478639	0.00994642	52197	527	51670	14	43
THEM4	pLoF;missense	0.01	0.4273704	0.00452509	0.00570126	7095	82	7013	7	63
THEM4	pLoF;missense	0.5	0.4273704	0.00452509	0.00570126	7095	82	7013	7	63
THEM4	missense;synonymous	0.01	0.2094385	0.00670114	0.00533908	7880	93	7787	19	87
THEM4	missense;synonymous	0.5	0.3124394	0.00507526	0.00502443	59231	609	58622	20	87
THEM4	pLoF;missense;synonymous;other	0.01	0.2511408	0.00608944	0.00530631	7964	93	7871	20	112
THEM4	pLoF;missense;synonymous;other	0.5	0.3624904	0.00455059	0.00499718	59315	609	58706	21	112
THEM4	Cauchy		0.360118							
S100A10	missense	0.01	0.09188304	-0.0150214	0.00891188	2280	16	2264	5	37
S100A10	missense	0.5	0.09188304	-0.0150214	0.00891188	2280	16	2264	5	37
S100A10	synonymous	0.01	0.3152592	0.0257841	0.025675	751	4	747	5	19
S100A10	synonymous	0.5	0.3152592	0.0257841	0.025675	751	4	747	5	19
S100A10	pLoF;missense	0.01	0.09188304	-0.0150214	0.00891188	2280	16	2264	5	37
S100A10	pLoF;missense	0.5	0.09188304	-0.0150214	0.00891188	2280	16	2264	5	37
S100A10	missense;synonymous	0.01	0.2078076	-0.0106138	0.00842623	3027	20	3007	10	56
S100A10	missense;synonymous	0.5	0.2078076	-0.0106138	0.00842623	3027	20	3007	10	56
S100A10	pLoF;missense;synonymous;other	0.01	0.2051898	-0.0106661	0.00841907	3031	20	3011	10	57
S100A10	pLoF;missense;synonymous;other	0.5	0.2051898	-0.0106661	0.00841907	3031	20	3011	10	57
S100A10	Cauchy		0.147219							
S100A11	pLoF	0.01	0.6505841	-0.0406014	0.0896376	64	0	64	1	6
S100A11	pLoF	0.5	0.6505841	-0.0406014	0.0896376	64	0	64	1	6
S100A11	missense	0.01	0.1638345	-0.0154966	0.0111303	1556	9	1547	8	31
S100A11	missense	0.5	0.1638345	-0.0154966	0.0111303	1556	9	1547	8	31
S100A11	synonymous	0.01	0.8944654	-0.00364094	0.0274464	208	2	206	4	20
S100A11	synonymous	0.5	0.8944654	-0.00364094	0.0274464	208	2	206	4	20
S100A11	pLoF;missense	0.01	0.1505701	-0.0158809	0.0110474	1620	9	1611	9	37
S100A11	pLoF;missense	0.5	0.1505701	-0.0158809	0.0110474	1620	9	1611	9	37
S100A11	missense;synonymous	0.01	0.1801309	-0.0138339	0.0103211	1764	11	1753	12	51
S100A11	missense;synonymous	0.5	0.1801309	-0.0138339	0.0103211	1764	11	1753	12	51
S100A11	pLoF;missense;synonymous;other	0.01	0.1665794	-0.0141861	0.0102554	1828	11	1817	13	57
S100A11	pLoF;missense;synonymous;other	0.5	0.1665794	-0.0141861	0.0102554	1828	11	1817	13	57
S100A11	Cauchy		0.327475							
HRNR	pLoF	0.01	0.2123402	0.00751337	0.0060244	4928	57	4871	47	120
HRNR	pLoF	0.5	0.2123402	0.00751337	0.0060244	4928	57	4871	47	120
HRNR	missense	0.01	0.4361664	0.0119818	0.0153872	678	9	669	13	43
HRNR	missense	0.5	0.4361664	0.0119818	0.0153872	678	9	669	13	43
HRNR	synonymous	0.01	0.4308838	0.00168739	0.00214223	44772	354	44418	209	492
HRNR	synonymous	0.5	0.9910819	-1.40335e-05	0.00125553	1069370	10104	1059270	224	492
HRNR	pLoF;missense	0.01	0.1477365	0.00813608	0.0056205	5606	66	5540	60	163
HRNR	pLoF;missense	0.5	0.1477365	0.00813608	0.0056205	5606	66	5540	60	163
HRNR	missense;synonymous	0.01	0.3747072	0.0018852	0.00212371	45449	363	45086	222	535
HRNR	missense;synonymous	0.5	0.9586488	6.49414e-05	0.0012525	1070050	10113	1059940	237	535
HRNR	pLoF;missense;synonymous;other	0.01	0.2948258	0.00202129	0.00192946	55823	445	55378	271	657
HRNR	pLoF;missense;synonymous;other	0.5	0.8401835	0.000244457	0.00121223	1080420	10195	1070230	286	657
HRNR	Cauchy		0.899741							
CRNN	pLoF	0.01	0.5455629	0.0109053	0.0180425	401	5	396	6	29
CRNN	pLoF	0.5	0.5455629	0.0109053	0.0180425	401	5	396	6	29
CRNN	missense	0.01	0.8294783	-0.00415786	0.0193056	516	4	512	9	58
CRNN	missense	0.5	0.8294783	-0.00415786	0.0193056	516	4	512	9	58
CRNN	synonymous	0.01	0.5749104	-0.00334348	0.00596161	7601	46	7555	22	104
CRNN	synonymous	0.5	0.5749104	-0.00334348	0.00596161	7601	46	7555	22	104
