Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
PCCA	pLoF	0.01	8.017661E-02	-0.0200789	0.0114759	233	7	226	4	49
PCCA	pLoF	0.500000	8.017661E-02	-0.0200789	0.0114759	233	7	226	4	49
PCCA	missense	0.01	6.241913E-01	-0.00174406	0.0035599	2636	132	2504	38	268
PCCA	missense	0.5	8.696022E-01	0.000396777	0.00241696	35649	2041	33608	39	268
PCCA	synonymous	0.01	5.483669E-01	0.00142497	0.00237412	6108	343	5765	34	122
PCCA	synonymous	0.5	5.601838E-01	0.00138384	0.00237541	124114	6944	117170	35	122
PCCA	pLoF;missense	0.01	3.296818E-01	-0.00331864	0.00340459	2869	139	2730	42	317
PCCA	pLoF;missense	0.5	8.485387E-01	-0.000451628	0.00236475	35882	2048	33834	43	317
PCCA	missense;synonymous	0.01	8.140997E-01	0.000465036	0.00197769	8744	475	8269	72	390
PCCA	missense;synonymous	0.5	5.877610E-01	0.000927346	0.00171071	159763	8985	150778	74	390
PCCA	pLoF;missense;synonymous;other	0.01	8.871716E-01	-0.000274995	0.00193817	9101	487	8614	78	469
PCCA	pLoF;missense;synonymous;other	0.5	8.335641E-01	0.000353882	0.00168409	160120	8997	151123	80	469
PCCA	Cauchy	NA	0.57467	NA	NA	NA	NA	NA	NA	NA
TMTC4	pLoF	0.01	9.529305E-02	-0.0254242	0.0152413	140	3	137	1	55
TMTC4	pLoF	0.500000	9.529305E-02	-0.0254242	0.0152413	140	3	137	1	55
TMTC4	missense	0.01	6.985642E-01	0.000850429	0.00219602	7094	413	6681	45	244
TMTC4	missense	0.500000	6.985642E-01	0.000850429	0.00219602	7094	413	6681	45	244
TMTC4	synonymous	0.01	7.938256E-01	0.00053356	0.00204158	9530	469	9061	46	157
TMTC4	synonymous	0.5	3.388740E-01	0.00150957	0.0015784	346772	19390	327382	49	157
TMTC4	pLoF;missense	0.01	8.820221E-01	0.000322832	0.00217533	7234	416	6818	46	299
TMTC4	pLoF;missense	0.500000	8.820221E-01	0.000322832	0.00217533	7234	416	6818	46	299
TMTC4	missense;synonymous	0.01	6.823847E-01	0.000547036	0.00133681	16623	882	15741	91	401
TMTC4	missense;synonymous	0.5	3.540851E-01	0.00109533	0.00118197	353865	19803	334062	94	401
TMTC4	pLoF;missense;synonymous;other	0.01	8.873213E-01	0.000188275	0.00132874	16878	887	15991	96	476
TMTC4	pLoF;missense;synonymous;other	0.5	4.916230E-01	0.00080912	0.00117651	354120	19808	334312	99	476
TMTC4	Cauchy	NA	0.595319	NA	NA	NA	NA	NA	NA	NA
NALCN	pLoF	0.01	5.993834E-01	0.00581251	0.0110654	244	16	228	6	65
NALCN	pLoF	0.500000	5.993834E-01	0.00581251	0.0110654	244	16	228	6	65
NALCN	missense	0.01	5.247734E-01	0.0014947	0.00235014	6000	340	5660	51	481
NALCN	missense	0.5	8.837889E-01	0.000252423	0.00172694	24694	1386	23308	52	481
NALCN	synonymous	0.01	8.389517E-01	0.000344101	0.00169312	14354	747	13607	56	350
NALCN	synonymous	0.5	7.789098E-01	0.000409068	0.00145711	1.00548e+06	56020	949462	62	350
NALCN	pLoF;missense	0.01	4.674500E-01	0.00167371	0.00230338	6243	356	5887	57	546
NALCN	pLoF;missense	0.5	8.249019E-01	0.000378043	0.00170871	24937	1402	23535	58	546
NALCN	missense;synonymous	0.01	6.196614E-01	0.000686231	0.00138261	20343	1086	19257	107	831
NALCN	missense;synonymous	0.5	7.800993E-01	0.000317334	0.00113662	1.03016e+06	57405	972760	114	831
NALCN	pLoF;missense;synonymous;other	0.01	3.616642E-01	0.00121726	0.00133442	21649	1175	20474	116	944
NALCN	pLoF;missense;synonymous;other	0.5	5.261478E-01	0.000704659	0.00111163	1.03147e+06	57494	973977	123	944
NALCN	Cauchy	NA	0.70645	NA	NA	NA	NA	NA	NA	NA
ITGBL1	pLoF	0.01	5.552688E-01	-0.0141311	0.0239558	58	2	56	0	33
ITGBL1	pLoF	0.500000	5.552688E-01	-0.0141311	0.0239558	58	2	56	0	33
ITGBL1	missense	0.01	5.272114E-01	-0.00185666	0.0029365	4227	201	4026	35	220
ITGBL1	missense	0.5	5.886551E-01	-0.0012126	0.00224228	38081	1992	36089	36	220
ITGBL1	synonymous	0.01	7.662138E-01	0.000795278	0.00267472	5519	298	5221	26	87
ITGBL1	synonymous	0.5	8.328207E-01	0.000560489	0.00265527	516722	28948	487774	29	87
ITGBL1	pLoF;missense	0.01	4.907589E-01	-0.00201017	0.00291709	4283	203	4080	35	253
ITGBL1	pLoF;missense	0.5	5.582801E-01	-0.00130752	0.00223356	38137	1994	36143	36	253
ITGBL1	missense;synonymous	0.01	8.419133E-01	-0.000396908	0.00199005	9744	499	9245	61	307
ITGBL1	missense;synonymous	0.5	7.847692E-01	-0.000472824	0.00173126	554801	30940	523861	65	307
ITGBL1	pLoF;missense;synonymous;other	0.01	9.248161E-01	0.000181365	0.00192188	10667	538	10129	63	358
ITGBL1	pLoF;missense;synonymous;other	0.5	9.886378E-01	-2.40659e-05	0.00168992	555724	30979	524745	67	358
ITGBL1	Cauchy	NA	0.904895	NA	NA	NA	NA	NA	NA	NA
FGF14	pLoF	0.01	3.211348E-01	-0.04228	0.0426154	20	0	20	0	7
FGF14	pLoF	0.500000	3.211348E-01	-0.04228	0.0426154	20	0	20	0	7
FGF14	missense	0.01	1.194097E-01	-0.0104516	0.00671155	708	29	679	16	69
FGF14	missense	0.500000	1.194097E-01	-0.0104516	0.00671155	708	29	679	16	69
FGF14	synonymous	0.01	5.598256E-01	-0.00181946	0.00312032	3699	176	3523	23	62
FGF14	synonymous	0.5	2.161989E-01	-0.00238096	0.00192526	17707	956	16751	24	62
FGF14	pLoF;missense	0.01	9.065366E-02	-0.0112206	0.0066317	728	29	699	16	76
FGF14	pLoF;missense	0.500000	9.065366E-02	-0.0112206	0.0066317	728	29	699	16	76
FGF14	missense;synonymous	0.01	2.367261E-01	-0.00334846	0.00282998	4407	205	4202	39	131
FGF14	missense;synonymous	0.5	1.057411E-01	-0.00299542	0.00185173	18415	985	17430	40	131
FGF14	pLoF;missense;synonymous;other	0.01	1.981922E-01	-0.00362909	0.00282042	4437	205	4232	39	143
FGF14	pLoF;missense;synonymous;other	0.5	9.181438E-02	-0.00311756	0.00184919	18445	985	17460	40	143
FGF14	Cauchy	NA	0.153258	NA	NA	NA	NA	NA	NA	NA
TPP2	pLoF	0.01	3.979637E-01	0.0255618	0.0302412	32	3	29	0	21
TPP2	pLoF	0.500000	3.979637E-01	0.0255618	0.0302412	32	3	29	0	21
TPP2	missense	0.01	9.317159E-01	0.000250976	0.00292902	3718	209	3509	49	330
TPP2	missense	0.500000	9.317159E-01	0.000250976	0.00292902	3718	209	3509	49	330
TPP2	synonymous	0.01	3.450337E-02	0.00889853	0.00420906	2038	118	1920	42	217
TPP2	synonymous	0.5	1.205677E-01	0.00413324	0.0026625	363265	20049	343216	44	217
TPP2	pLoF;missense	0.01	8.688175E-01	0.000481636	0.00291616	3750	212	3538	49	351
TPP2	pLoF;missense	0.500000	8.688175E-01	0.000481636	0.00291616	3750	212	3538	49	351
TPP2	missense;synonymous	0.01	2.025965E-01	0.00305874	0.00240054	5750	327	5423	91	547
TPP2	missense;synonymous	0.5	2.259943E-01	0.00239424	0.0019775	366977	20258	346719	93	547
TPP2	pLoF;missense;synonymous;other	0.01	2.745411E-01	0.00259661	0.0023764	5877	331	5546	93	590
TPP2	pLoF;missense;synonymous;other	0.5	2.878155E-01	0.00208736	0.00196378	367104	20262	346842	95	590
TPP2	Cauchy	NA	0.427761	NA	NA	NA	NA	NA	NA	NA
METTL21C	pLoF	0.01	5.693274E-01	-0.00856009	0.015043	183	6	177	3	21
METTL21C	pLoF	0.500000	5.693274E-01	-0.00856009	0.015043	183	6	177	3	21
METTL21C	missense	0.01	9.153296E-01	0.000351804	0.00330896	3324	188	3136	11	67
METTL21C	missense	0.500000	9.153296E-01	0.000351804	0.00330896	3324	188	3136	11	67
METTL21C	synonymous	0.01	6.328355E-01	0.00320745	0.0067138	729	41	688	11	52
METTL21C	synonymous	0.5	6.328373E-01	0.00320743	0.0067138	326005	18109	307896	12	52
METTL21C	pLoF;missense	0.01	9.861244E-01	-5.62366e-05	0.0032336	3507	194	3313	14	88
METTL21C	pLoF;missense	0.500000	9.861244E-01	-5.62366e-05	0.0032336	3507	194	3313	14	88
METTL21C	missense;synonymous	0.01	7.579188E-01	0.000916287	0.00297288	4052	229	3823	22	119
METTL21C	missense;synonymous	0.5	7.579196E-01	0.000916283	0.00297288	329328	18297	311031	23	119
METTL21C	pLoF;missense;synonymous;other	0.01	9.882916E-01	-4.22835e-05	0.00288136	4280	235	4045	27	142
METTL21C	pLoF;missense;synonymous;other	0.5	9.882907E-01	-4.22866e-05	0.00288136	329556	18303	311253	28	142
METTL21C	Cauchy	NA	0.965712	NA	NA	NA	NA	NA	NA	NA
CCDC168	pLoF	0.01	8.113024E-01	-0.000586771	0.00245772	5259	288	4971	58	367
CCDC168	pLoF	0.500000	8.113024E-01	-0.000586771	0.00245772	5259	288	4971	58	367
CCDC168	missense	0.01	8.765677E-02	-0.0196523	0.0115067	255	7	248	5	50
CCDC168	missense	0.500000	8.765677E-02	-0.0196523	0.0115067	255	7	248	5	50
CCDC168	synonymous	0.01	1.000525E-01	-0.00150631	0.00091591	42402	1867	40535	228	1164
CCDC168	synonymous	0.5	3.736500E-01	-0.000686175	0.000771281	756727	41477	715250	237	1164
CCDC168	pLoF;missense	0.01	5.550660E-01	-0.00142088	0.00240752	5514	295	5219	63	417
CCDC168	pLoF;missense	0.500000	5.550660E-01	-0.00142088	0.00240752	5514	295	5219	63	417
CCDC168	missense;synonymous	0.01	7.657734E-02	-0.00161801	0.000913666	42655	1874	40781	233	1214
CCDC168	missense;synonymous	0.5	3.184361E-01	-0.000767949	0.000769737	756980	41484	715496	242	1214
CCDC168	pLoF;missense;synonymous;other	0.01	7.791664E-02	-0.00151408	0.000858858	47942	2163	45779	292	1587
CCDC168	pLoF;missense;synonymous;other	0.5	2.982656E-01	-0.000767053	0.000737438	762267	41773	720494	301	1587
CCDC168	Cauchy	NA	0.198234	NA	NA	NA	NA	NA	NA	NA
TEX30	pLoF	0.01	9.187423E-01	-0.00287655	0.0281965	43	2	41	1	9
TEX30	pLoF	0.500000	9.187423E-01	-0.00287655	0.0281965	43	2	41	1	9
TEX30	missense	0.01	3.393642E-01	0.00562262	0.00588496	985	56	929	16	68
TEX30	missense	0.500000	3.393642E-01	0.00562262	0.00588496	985	56	929	16	68
TEX30	synonymous	0.01	7.193114E-01	-0.00319354	0.00888626	532	20	512	6	34
TEX30	synonymous	0.500000	7.193114E-01	-0.00319354	0.00888626	532	20	512	6	34
TEX30	pLoF;missense	0.01	3.601099E-01	0.00527327	0.00576215	1028	58	970	17	77
TEX30	pLoF;missense	0.500000	3.601099E-01	0.00527327	0.00576215	1028	58	970	17	77
TEX30	missense;synonymous	0.01	5.480902E-01	0.0029465	0.00490573	1517	76	1441	22	102
TEX30	missense;synonymous	0.500000	5.480902E-01	0.0029465	0.00490573	1517	76	1441	22	102
TEX30	pLoF;missense;synonymous;other	0.01	4.563972E-01	0.00358749	0.00481677	1570	80	1490	23	117
TEX30	pLoF;missense;synonymous;other	0.500000	4.563972E-01	0.00358749	0.00481677	1570	80	1490	23	117
TEX30	Cauchy	NA	0.673862	NA	NA	NA	NA	NA	NA	NA
POGLUT2	pLoF	0.01	4.989195E-03	0.0333856	0.0118906	124	14	110	2	34
POGLUT2	pLoF	0.500000	4.989195E-03	0.0333856	0.0118906	124	14	110	2	34
POGLUT2	missense	0.01	4.135619E-01	-0.00341552	0.00417728	1995	92	1903	26	152
POGLUT2	missense	0.500000	4.135619E-01	-0.00341552	0.00417728	1995	92	1903	26	152
POGLUT2	synonymous	0.01	8.912032E-02	-0.00853874	0.00502262	1567	55	1512	17	79
POGLUT2	synonymous	0.5	3.256928E-01	-0.00243805	0.00248066	26853	1388	25465	18	79
POGLUT2	pLoF;missense	0.01	9.425955E-01	-0.000291303	0.00404542	2119	106	2013	28	186
POGLUT2	pLoF;missense	0.500000	9.425955E-01	-0.000291303	0.00404542	2119	106	2013	28	186
POGLUT2	missense;synonymous	0.01	8.412333E-02	-0.00558711	0.00323469	3562	147	3415	43	231
POGLUT2	missense;synonymous	0.5	2.083064E-01	-0.00267564	0.0021265	28848	1480	27368	44	231
POGLUT2	pLoF;missense;synonymous;other	0.01	2.380780E-01	-0.00369598	0.0031327	3783	165	3618	47	281
POGLUT2	pLoF;missense;synonymous;other	0.5	3.623613E-01	-0.0019103	0.00209722	29069	1498	27571	48	281
POGLUT2	Cauchy	NA	0.0298003	NA	NA	NA	NA	NA	NA	NA
BIVM	pLoF	0.01	5.996824E-01	0.0123403	0.0235117	52	4	48	1	20
BIVM	pLoF	0.500000	5.996824E-01	0.0123403	0.0235117	52	4	48	1	20
BIVM	missense	0.01	8.327376E-01	0.00131634	0.00623292	816	46	770	17	141
BIVM	missense	0.500000	8.327376E-01	0.00131634	0.00623292	816	46	770	17	141
BIVM	synonymous	0.01	4.745822E-01	-0.00164393	0.00229906	8973	465	8508	19	78
BIVM	synonymous	0.500000	4.745822E-01	-0.00164393	0.00229906	8973	465	8508	19	78
BIVM	pLoF;missense	0.01	7.128085E-01	0.00222518	0.00604525	865	50	815	18	161
BIVM	pLoF;missense	0.500000	7.128085E-01	0.00222518	0.00604525	865	50	815	18	161
BIVM	missense;synonymous	0.01	5.543809E-01	-0.00127079	0.00214949	9788	511	9277	36	219
BIVM	missense;synonymous	0.500000	5.543809E-01	-0.00127079	0.00214949	9788	511	9277	36	219
BIVM	pLoF;missense;synonymous;other	0.01	6.006008E-01	-0.00111934	0.00213803	9858	516	9342	37	245
BIVM	pLoF;missense;synonymous;other	0.500000	6.006008E-01	-0.00111934	0.00213803	9858	516	9342	37	245
BIVM	Cauchy	NA	0.658337	NA	NA	NA	NA	NA	NA	NA
ERCC5	pLoF	0.01	4.611802E-01	-0.0079416	0.010777	279	12	267	8	60
ERCC5	pLoF	0.500000	4.611802E-01	-0.0079416	0.010777	279	12	267	8	60
ERCC5	missense	0.01	6.205747E-01	-0.00105998	0.00214123	7979	377	7602	56	216
ERCC5	missense	0.5	5.222383E-01	-0.000917626	0.00143402	191243	10466	180777	59	216
ERCC5	synonymous	0.01	9.793091E-01	-3.74721e-05	0.00144484	20209	1022	19187	58	224
ERCC5	synonymous	0.5	8.615498E-01	0.000221328	0.00126907	300759	16552	284207	60	224
ERCC5	pLoF;missense	0.01	5.337658E-01	-0.00130508	0.0020973	8257	389	7868	64	276
ERCC5	pLoF;missense	0.5	4.677601E-01	-0.00103034	0.00141895	191521	10478	181043	67	276
