Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.3714245	-0.00655344	0.00733204	5765	34	5731	28	150
HRNR	pLoF	0.5	0.3714245	-0.00655344	0.00733204	5765	34	5731	28	150
HRNR	missense	0.01	0.4121417	0.0240631	0.0293406	205	3	202	5	34
HRNR	missense	0.5	0.4121417	0.0240631	0.0293406	205	3	202	5	34
HRNR	synonymous	0.01	0.9323193	-0.000410263	0.00483076	11235	73	11162	113	442
HRNR	synonymous	0.5	0.6970189	-0.0013453	0.00345526	901889	6559	895330	129	442
HRNR	pLoF;missense	0.01	0.5045421	-0.0047553	0.00712554	5970	37	5933	33	184
HRNR	pLoF;missense	0.5	0.5045421	-0.0047553	0.00712554	5970	37	5933	33	184
HRNR	missense;synonymous	0.01	0.9552498	0.000267926	0.00477455	11439	76	11363	118	476
HRNR	missense;synonymous	0.5	0.7746555	-0.000983364	0.00343484	902093	6562	895531	134	476
HRNR	pLoF;missense;synonymous;other	0.01	0.707105	-0.00151192	0.00402376	17241	111	17130	148	629
HRNR	pLoF;missense;synonymous;other	0.5	0.6491679	-0.00139019	0.0030559	925251	6689	918562	165	629
HRNR	Cauchy		0.768156							
FLG	pLoF	0.01	0.5493151	0.00365497	0.00610396	6673	51	6622	53	437
FLG	pLoF	0.5	0.1622801	0.00631859	0.00452154	14331	133	14198	55	437
FLG	missense	0.01	0.9795696	0.00103458	0.0403998	123	1	122	2	23
FLG	missense	0.5	0.9243543	0.000902078	0.00950053	7093	34	7059	4	23
FLG	synonymous	0.01	0.8914263	-0.000252375	0.0018489	62314	380	61934	273	1035
FLG	synonymous	0.5	0.5230249	-0.000988048	0.00154699	895844	6468	889376	292	1035
FLG	pLoF;missense	0.01	0.5534933	0.00358129	0.00604403	6796	52	6744	55	460
FLG	pLoF;missense	0.5	0.1889465	0.00542091	0.00412644	21424	167	21257	59	460
FLG	missense;synonymous	0.01	0.8910869	-0.000252959	0.00184738	62435	381	62054	275	1058
FLG	missense;synonymous	0.5	0.5476105	-0.000895548	0.00148924	902935	6502	896433	296	1058
FLG	pLoF;missense;synonymous;other	0.01	0.9604741	8.76378e-05	0.00176836	69109	432	68677	330	1499
FLG	pLoF;missense;synonymous;other	0.5	0.8964864	-0.000186659	0.00143472	917267	6635	910632	353	1499
FLG	Cauchy		0.890716							
FLG2	pLoF	0.01	0.4571769	-0.010652	0.0143268	1023	6	1017	16	169
FLG2	pLoF	0.5	0.4071526	-0.006718	0.00810458	72984	581	72403	18	169
FLG2	missense	0.01	0.1999963	-0.0247858	0.0193403	963	2	961	3	55
FLG2	missense	0.5	0.1999963	-0.0247858	0.0193403	963	2	961	3	55
FLG2	synonymous	0.01	0.4854166	0.00265193	0.00380141	19078	116	18962	76	440
FLG2	synonymous	0.5	0.2293656	0.00440868	0.0036678	162966	1237	161729	80	440
FLG2	pLoF;missense	0.01	0.170868	-0.0158583	0.0115803	1986	8	1978	19	224
FLG2	pLoF;missense	0.5	0.2062256	-0.00947442	0.00749551	73947	583	73364	21	224
FLG2	missense;synonymous	0.01	0.6574944	0.00166627	0.00375814	20041	118	19923	79	495
FLG2	missense;synonymous	0.5	0.3397953	0.00347553	0.00364094	163929	1239	162690	83	495
FLG2	pLoF;missense;synonymous;other	0.01	0.7933415	0.000954489	0.00364345	21048	124	20924	95	665
FLG2	pLoF;missense;synonymous;other	0.5	0.5798244	0.00184961	0.00334081	236897	1820	235077	101	665
FLG2	Cauchy		0.356427							
RPTN	pLoF	0.01	0.541835	-0.0104542	0.0171368	841	4	837	13	81
RPTN	pLoF	0.5	0.5419113	-0.0104531	0.0171383	76402	594	75808	14	81
RPTN	missense	0.01	0.8663613	0.00276559	0.0164342	721	7	714	4	32
RPTN	missense	0.5	0.8663613	0.00276559	0.0164342	721	7	714	4	32
RPTN	synonymous	0.01	0.327866	0.0140479	0.0143577	1234	11	1223	17	128
RPTN	synonymous	0.5	0.9456074	-0.000577265	0.00846132	4447	32	4415	18	128
RPTN	pLoF;missense	0.01	0.7659832	-0.00353166	0.0118658	1562	11	1551	17	113
RPTN	pLoF;missense	0.5	0.766046	-0.00353107	0.0118671	77123	601	76522	18	113
RPTN	missense;synonymous	0.01	0.3828018	0.00949053	0.0108743	1952	18	1934	21	160
RPTN	missense;synonymous	0.5	0.9755895	0.000231277	0.00755837	5165	39	5126	22	160
RPTN	pLoF;missense;synonymous;other	0.01	0.693566	0.00362503	0.0092001	2798	22	2776	34	244
RPTN	pLoF;missense;synonymous;other	0.5	0.8173085	-0.00159911	0.00692231	81572	633	80939	36	244
RPTN	Cauchy		0.866976							
CRNN	pLoF	0.01	0.03237858	0.0588038	0.0274822	186	5	181	5	43
CRNN	pLoF	0.5	0.03237858	0.0588038	0.0274822	186	5	181	5	43
CRNN	missense	0.01	0.9476661	0.00136574	0.0208071	614	4	610	6	58
CRNN	missense	0.5	0.9476661	0.00136574	0.0208071	614	4	610	6	58
CRNN	synonymous	0.01	0.3000444	0.0113374	0.0109399	2055	18	2037	19	105
CRNN	synonymous	0.5	0.1939764	0.0118839	0.00914916	14950	84	14866	20	105
CRNN	pLoF;missense	0.01	0.1626028	0.0229836	0.0164595	798	9	789	11	101
CRNN	pLoF;missense	0.5	0.1626028	0.0229836	0.0164595	798	9	789	11	101
CRNN	missense;synonymous	0.01	0.3407458	0.00927113	0.0097315	2669	22	2647	25	163
CRNN	missense;synonymous	0.5	0.220729	0.0103324	0.00843745	15564	88	15476	26	163
CRNN	pLoF;missense;synonymous;other	0.01	0.1025641	0.0146508	0.00897417	2965	28	2937	31	208
CRNN	pLoF;missense;synonymous;other	0.5	0.06929586	0.014399	0.00792685	15860	94	15766	32	208
CRNN	Cauchy		0.155767							
POMC	pLoF	0.01	0.7637519	-0.00415743	0.0138324	1050	6	1044	17	66
POMC	pLoF	0.5	0.683308	-0.00535367	0.0131232	31711	204	31507	18	66
POMC	missense	0.01	0.9600867	0.000469975	0.00939109	2795	21	2774	11	93
POMC	missense	0.5	0.9600867	0.000469975	0.00939109	2795	21	2774	11	93
POMC	synonymous	0.01	0.1225947	-0.0134237	0.00869423	3089	20	3069	7	106
POMC	synonymous	0.5	0.7294215	-0.00163237	0.00471925	13936	96	13840	9	106
POMC	pLoF;missense	0.01	0.9046909	-0.000928716	0.00775625	3844	27	3817	28	159
POMC	pLoF;missense	0.5	0.8493895	-0.00145435	0.00765859	34505	225	34280	29	159
POMC	missense;synonymous	0.01	0.2751162	-0.00700602	0.00641955	5879	41	5838	18	199
POMC	missense;synonymous	0.5	0.7807939	-0.00117848	0.00423481	16726	117	16609	20	199
POMC	pLoF;missense;synonymous;other	0.01	0.2666708	-0.00647584	0.00583009	6930	47	6883	35	266
POMC	pLoF;missense;synonymous;other	0.5	0.6984255	-0.00157043	0.00405327	48438	321	48117	38	266
POMC	Cauchy		0.837265							
DNMT3A	pLoF	0.01	0.1130202	0.0228862	0.0144414	562	13	549	5	291
DNMT3A	pLoF	0.5	0.1130202	0.0228862	0.0144414	562	13	549	5	291
DNMT3A	missense	0.01	0.3608356	-0.00795467	0.0087053	2104	19	2085	28	407
DNMT3A	missense	0.5	0.3608356	-0.00795467	0.0087053	2104	19	2085	28	407
DNMT3A	synonymous	0.01	0.99809	-1.78644e-05	0.00746258	5155	33	5122	32	195
DNMT3A	synonymous	0.5	0.3567584	0.00581855	0.00631381	95740	762	94978	35	195
DNMT3A	pLoF;missense	0.01	0.8529393	-0.0014183	0.0076512	2658	31	2627	33	698
DNMT3A	pLoF;missense	0.5	0.8529393	-0.0014183	0.0076512	2658	31	2627	33	698
DNMT3A	missense;synonymous	0.01	0.4532763	-0.00428934	0.0057194	7257	51	7206	60	602
DNMT3A	missense;synonymous	0.5	0.9376399	0.000403925	0.00516287	97842	780	97062	63	602
DNMT3A	pLoF;missense;synonymous;other	0.01	0.6071543	-0.00265073	0.00515565	8569	66	8503	71	997
DNMT3A	pLoF;missense;synonymous;other	0.5	0.8253956	0.00104537	0.00473855	99154	795	98359	74	997
DNMT3A	Cauchy		0.977664							
DTNB	pLoF	0.01	0.7964312	-0.0404377	0.156754	11	0	11	0	10
DTNB	pLoF	0.5	0.7964312	-0.0404377	0.156754	11	0	11	0	10
DTNB	missense	0.01	0.5305084	-0.0406954	0.0648812	44	0	44	0	41
DTNB	missense	0.5	0.5305084	-0.0406954	0.0648812	44	0	44	0	41
