Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.7088921	0.00280258	0.00750669	5770	39	5731	28	149
HRNR	pLoF	0.5	0.7088921	0.00280258	0.00750669	5770	39	5731	28	149
HRNR	missense	0.01	0.08636315	0.0523972	0.0305541	206	4	202	5	35
HRNR	missense	0.5	0.08636315	0.0523972	0.0305541	206	4	202	5	35
HRNR	synonymous	0.01	0.2718082	-0.00534881	0.00486738	11225	63	11162	114	440
HRNR	synonymous	0.5	0.6400746	-0.00161759	0.00345939	901434	6104	895330	130	440
HRNR	pLoF;missense	0.01	0.4460412	0.00556482	0.00730261	5976	43	5933	33	184
HRNR	pLoF;missense	0.5	0.4460412	0.00556482	0.00730261	5976	43	5933	33	184
HRNR	missense;synonymous	0.01	0.4027674	-0.00402828	0.00481455	11430	67	11363	119	475
HRNR	missense;synonymous	0.5	0.7747635	-0.000984384	0.0034401	901639	6108	895531	135	475
HRNR	pLoF;missense;synonymous;other	0.01	0.6075746	-0.00209337	0.00407637	17236	106	17130	149	627
HRNR	pLoF;missense;synonymous;other	0.5	0.9295328	0.000271411	0.00306913	924808	6246	918562	166	627
HRNR	Cauchy		0.480286							
FLG	pLoF	0.01	0.06186113	0.011347	0.00607672	6704	59	6645	56	435
FLG	pLoF	0.5	0.03010888	0.00987669	0.00455429	14357	136	14221	58	435
FLG	missense	0.01	0.3504314	-0.0394625	0.0422622	122	0	122	2	23
FLG	missense	0.5	0.3493239	-0.00872828	0.00932607	7089	30	7059	4	23
FLG	synonymous	0.01	0.5927471	0.000981288	0.00183467	62330	396	61934	272	1036
FLG	synonymous	0.5	0.9207144	-0.000154544	0.00155268	895346	5970	889376	291	1036
FLG	pLoF;missense	0.01	0.08500245	0.0103735	0.00602283	6826	59	6767	58	458
FLG	pLoF;missense	0.5	0.1194204	0.00644568	0.00413924	21446	166	21280	62	458
FLG	missense;synonymous	0.01	0.6171851	0.000916384	0.00183334	62450	396	62054	274	1059
FLG	missense;synonymous	0.5	0.8098696	-0.000358975	0.00149203	902433	6000	896433	295	1059
