Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ATAD3A	pLoF	0.01	0.817894	-0.0278282	0.120859	184	0	184	3	34
ATAD3A	pLoF	0.5	0.817894	-0.0278282	0.120859	184	0	184	3	34
ATAD3A	missense	0.01	0.1069314	0.0336298	0.0208603	9762	7	9755	59	227
ATAD3A	missense	0.5	0.2162437	0.0189724	0.0153427	33639	16	33623	61	227
ATAD3A	synonymous	0.01	0.9801049	0.000265461	0.0106451	22998	11	22987	63	142
ATAD3A	synonymous	0.5	0.8832192	0.00145563	0.00990968	113869	50	113819	65	142
ATAD3A	pLoF;missense	0.01	0.1211302	0.0318457	0.020545	9943	7	9936	62	261
ATAD3A	pLoF;missense	0.5	0.2311177	0.0182065	0.015204	33820	16	33804	64	261
ATAD3A	missense;synonymous	0.01	0.45217	0.00707806	0.00941479	32757	18	32739	122	369
ATAD3A	missense;synonymous	0.5	0.4342307	0.00639301	0.00817549	147505	66	147439	126	369
ATAD3A	pLoF;missense;synonymous;other	0.01	0.4692419	0.00678511	0.00937542	33058	18	33040	128	420
ATAD3A	pLoF;missense;synonymous;other	0.5	0.4486247	0.0061742	0.00814849	147806	66	147740	132	420
ATAD3A	Cauchy		0.76679							
FLG	pLoF	0.01	0.278355	-0.0220659	0.0203556	10300	2	10298	98	334
FLG	pLoF	0.5	0.08159653	-0.0256239	0.0147137	38810	9	38801	100	334
FLG	missense	0.01	0.7670425	-0.0111859	0.0377588	1797	1	1796	8	27
FLG	missense	0.5	0.7670425	-0.0111859	0.0377588	1797	1	1796	8	27
FLG	synonymous	0.01	0.07628387	-0.00996265	0.00562015	76892	26	76866	400	1134
FLG	synonymous	0.5	0.4817193	-0.00302488	0.00429952	1602580	633	1601950	421	1134
FLG	pLoF;missense	0.01	0.2694877	-0.0199709	0.0180856	12097	3	12094	106	361
FLG	pLoF;missense	0.5	0.08200099	-0.0239757	0.0137855	40607	10	40597	108	361
FLG	missense;synonymous	0.01	0.08240183	-0.00933517	0.00537457	78687	27	78660	408	1161
FLG	missense;synonymous	0.5	0.4738245	-0.00299338	0.00417912	1604370	634	1603740	429	1161
FLG	pLoF;missense;synonymous;other	0.01	0.04876578	-0.0103321	0.00524302	89020	29	88991	507	1498
FLG	pLoF;missense;synonymous;other	0.5	0.2403668	-0.00476669	0.00405997	1643220	643	1642570	530	1498
FLG	Cauchy		0.15507							
FLG2	pLoF	0.01	0.4225186	-0.0385667	0.0480846	1790	0	1790	26	112
FLG2	pLoF	0.5	0.416216	-0.0385296	0.0473917	101244	38	101206	27	112
FLG2	missense	0.01	0.1111057	0.133395	0.0837254	448	1	447	9	50
FLG2	missense	0.5	0.1111057	0.133395	0.0837254	448	1	447	9	50
FLG2	synonymous	0.01	0.3647383	0.00555087	0.00612427	41741	26	41715	146	447
FLG2	synonymous	0.5	0.5572475	0.00265948	0.00453114	418565	171	418394	154	447
FLG2	pLoF;missense	0.01	0.9204545	0.00417286	0.0417866	2235	1	2234	35	162
FLG2	pLoF;missense	0.5	0.9368828	0.00327461	0.0413521	101689	39	101650	36	162
FLG2	missense;synonymous	0.01	0.3066939	0.00625139	0.00611572	42186	27	42159	155	497
FLG2	missense;synonymous	0.5	0.5008706	0.00304749	0.0045274	419010	172	418838	163	497
FLG2	pLoF;missense;synonymous;other	0.01	0.3666038	0.00541425	0.00599682	43985	27	43958	181	614
FLG2	pLoF;missense;synonymous;other	0.5	0.558454	0.00260139	0.00444577	520263	210	520053	190	614
FLG2	Cauchy		0.543735							
PIP5K1A	pLoF	0.01	0.8428246	-0.0401194	0.202335	82	0	82	1	26
PIP5K1A	pLoF	0.5	0.8428246	-0.0401194	0.202335	82	0	82	1	26
PIP5K1A	missense	0.01	0.7978638	0.01189	0.046425	1308	1	1307	16	162
PIP5K1A	missense	0.5	0.7978638	0.01189	0.046425	1308	1	1307	16	162
PIP5K1A	synonymous	0.01	0.7961916	0.00684992	0.0265214	5881	3	5878	22	120
PIP5K1A	synonymous	0.5	0.8207004	-0.00446198	0.0196872	210205	82	210123	24	120
