Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
HRNR	pLoF	0.01	0.2019607	-0.0142331	0.0111546	9202	10	9192	44	182
HRNR	pLoF	0.5	0.2019607	-0.0142331	0.0111546	9202	10	9192	44	182
HRNR	missense	0.01	0.2359658	0.050536	0.0426417	345	2	343	7	49
HRNR	missense	0.5	0.2359658	0.050536	0.0426417	345	2	343	7	49
HRNR	synonymous	0.01	0.2831423	0.00762991	0.00710892	13372	37	13335	143	524
HRNR	synonymous	0.5	0.1634174	0.00602839	0.00432555	1464190	3553	1460640	160	524
HRNR	pLoF;missense	0.01	0.3504284	-0.0100828	0.0107981	9547	12	9535	51	231
HRNR	pLoF;missense	0.5	0.3504284	-0.0100828	0.0107981	9547	12	9535	51	231
HRNR	missense;synonymous	0.01	0.2081975	0.00883421	0.00701943	13715	39	13676	150	573
HRNR	missense;synonymous	0.5	0.1312343	0.00649864	0.00430587	1464540	3555	1460980	167	573
HRNR	pLoF;missense;synonymous;other	0.01	0.6133785	0.00301469	0.00596665	22990	50	22940	196	759
HRNR	pLoF;missense;synonymous;other	0.5	0.4463526	0.00298123	0.00391489	1502510	3623	1498890	214	759
HRNR	Cauchy		0.251452							
FLG	pLoF	0.01	0.7193777	-0.00280107	0.00779612	11140	26	11114	89	524
FLG	pLoF	0.5	0.6273407	0.00291951	0.00601374	23488	68	23420	91	524
FLG	missense	0.01	0.03378255	0.139958	0.0659353	208	2	206	4	31
FLG	missense	0.5	0.2206067	0.012121	0.0098954	11961	38	11923	6	31
FLG	synonymous	0.01	0.4303591	-0.00172406	0.00218629	98481	231	98250	351	1177
FLG	synonymous	0.5	0.945808	-0.000131701	0.00193758	1456400	3492	1452910	371	1177
FLG	pLoF;missense	0.01	0.9488849	-0.000496019	0.00773735	11348	28	11320	93	555
FLG	pLoF;missense	0.5	0.2887501	0.00553107	0.00521372	35449	106	35343	97	555
FLG	missense;synonymous	0.01	0.4783484	-0.00154902	0.00218492	98687	233	98454	355	1208
FLG	missense;synonymous	0.5	0.8743273	0.000290611	0.0018374	1468360	3530	1464830	377	1208
FLG	pLoF;missense;synonymous;other	0.01	0.4659867	-0.00153632	0.00210736	109868	260	109608	446	1739
FLG	pLoF;missense;synonymous;other	0.5	0.7323745	0.000610884	0.00178637	1491890	3599	1488290	470	1739
FLG	Cauchy		0.620237							
FLG2	pLoF	0.01	0.3496807	-0.0186839	0.0199783	1666	2	1664	25	222
FLG2	pLoF	0.5	0.8232809	-0.00276036	0.0123602	118211	276	117935	27	222
FLG2	missense	0.01	0.5151755	-0.013195	0.020275	1645	3	1642	7	70
FLG2	missense	0.5	0.5151755	-0.013195	0.020275	1645	3	1642	7	70
FLG2	synonymous	0.01	0.988739	6.09723e-05	0.00431997	32050	82	31968	104	540
FLG2	synonymous	0.5	0.6293076	-0.00202263	0.00419024	266072	628	265444	108	540
FLG2	pLoF;missense	0.01	0.2581199	-0.0161712	0.0143001	3311	5	3306	32	292
FLG2	pLoF;missense	0.5	0.5941077	-0.00564149	0.0105865	119856	279	119577	34	292
FLG2	missense;synonymous	0.01	0.8989367	-0.00054058	0.00425638	33695	85	33610	111	610
FLG2	missense;synonymous	0.5	0.5381679	-0.00255522	0.00415088	267717	631	267086	115	610
FLG2	pLoF;missense;synonymous;other	0.01	0.7568351	-0.00128446	0.00414823	35352	87	35265	136	834
FLG2	pLoF;missense;synonymous;other	0.5	0.5178295	-0.00254443	0.00393451	385919	907	385012	142	834
FLG2	Cauchy		0.89051							
RPTN	pLoF	0.01	0.4657754	0.0154372	0.0211651	1428	5	1423	21	100
RPTN	pLoF	0.5	0.4666823	0.0154077	0.0211677	123326	272	123054	22	100
RPTN	missense	0.01	0.9824542	-0.00052809	0.0240126	1149	3	1146	5	40
RPTN	missense	0.5	0.9824542	-0.00052809	0.0240126	1149	3	1146	5	40
RPTN	synonymous	0.01	0.3548414	0.020524	0.0221823	1985	5	1980	24	153
RPTN	synonymous	0.5	0.0002552466	0.0326877	0.00893855	7314	35	7279	25	153
RPTN	pLoF;missense	0.01	0.5928936	0.00849288	0.015885	2577	8	2569	26	140
RPTN	pLoF;missense	0.5	0.5936606	0.00847641	0.0158871	124475	275	124200	27	140
RPTN	missense;synonymous	0.01	0.5013057	0.0109933	0.0163485	3128	8	3120	29	193
RPTN	missense;synonymous	0.5	0.0007373328	0.0278949	0.00826441	8457	38	8419	30	193
